CÓDIGO_INSTITUCIÓN_PADRE,CÓDIGO_INSTITUCIÓN,# universidad,NOMBRE_INSTITUCIÓN,ESTADO_INSTITUCIÓN,CARÁCTER_ACADÉMICO,SECTOR,codigoprograma,NOMBRE_DEL_PROGRAMA,,,,,,,,,,,,,,,,
1710,1710,26,UNIVERSIDAD PONTIFICIA BOLIVARIANA,Activa,Universidad,Privado,26.15,MAESTRÍA EN SOSTENIBILIDAD,,,,,,,,,,,,,,,,
1710,1723,26,UNIVERSIDAD PONTIFICIA BOLIVARIANA,Activa,Universidad,Privado,26.16,ESPECIALIZACIÓN EN GERENCIA DE TECNOLOGÍAS DE INFORMACIÓN,,,,,,,,,,,,,,,,
1710,1723,26,UNIVERSIDAD PONTIFICIA BOLIVARIANA,Activa,Universidad,Privado,26.17,ESPECIALIZACIÓN EN GESTIÓN DE LA SOSTENIBILIDAD,,,,,,,,,,,,,,,,
1710,1723,26,UNIVERSIDAD PONTIFICIA BOLIVARIANA,Activa,Universidad,Privado,26.18,ESPECIALIZACIÓN EN GESTIÓN DE PROYECTOS,,,,,,,,,,,,,,,,
1710,1723,26,UNIVERSIDAD PONTIFICIA BOLIVARIANA,Activa,Universidad,Privado,26.19,ESPECIALIZACION EN GESTION ESTRATEGICA DE LA COMUNICACION,,,,,,,,,,,,,,,,
1710,1723,26,UNIVERSIDAD PONTIFICIA BOLIVARIANA,Activa,Universidad,Privado,26.20,ESPECIALIZACIÓN EN PRESERVACIÓN Y CONSERVACIÓN DE LOS RECURSOS NATURALES,,,,,,,,,,,,,,,,
1710,1723,26,UNIVERSIDAD PONTIFICIA BOLIVARIANA,Activa,Universidad,Privado,26.21,ESPECIALIZACIÓN EN SEGURIDAD INFORMATICA,,,,,,,,,,,,,,,,
1710,1723,26,UNIVERSIDAD PONTIFICIA BOLIVARIANA,Activa,Universidad,Privado,26.27,MAESTRÍA EN INNOVACIÓN SOCIAL Y TERRITORIO,,,,,,,,,,,,,,,,
1711,1711,27,UNIVERSIDAD DE LA SABANA,Activa,Universidad,Privado,27.1,ESPECIALIZACIÓN EN GERENCIA COMERCIAL,,,,,,,,,,,,,,,,
1711,1711,27,UNIVERSIDAD DE LA SABANA,Activa,Universidad,Privado,27.2,ESPECIALIZACIÓN EN GERENCIA ESTRATÉGICA,,,,,,,,,,,,,,,,
1711,1711,27,UNIVERSIDAD DE LA SABANA,Activa,Universidad,Privado,27.3,ESPECIALIZACIÓN EN GESTIÓN PARA EL DESARROLLO HUMANO EN LA ORGANIZACIÓN,,,,,,,,,,,,,,,,
1711,1711,27,UNIVERSIDAD DE LA SABANA,Activa,Universidad,Privado,27.4,ESPECIALIZACION EN PEDAGOGIA E INVESTIGACION EN EL AULA,,,,,,,,,,,,,,,,
1711,1711,27,UNIVERSIDAD DE LA SABANA,Activa,Universidad,Privado,27.5,MAESTRÍA EN ASESORÍA FAMILIAR Y GESTIÓN DE PROGRAMAS PARA LA FAMILIA,,,,,,,,,,,,,,,,
1711,1711,27,UNIVERSIDAD DE LA SABANA,Activa,Universidad,Privado,27.6,MAESTRÍA EN DIDÁCTICA DEL INGLÉS PARA EL APRENDIZAJE AUTODIRIGIDO,,,,,,,,1,,,,,,,,
1711,1711,27,UNIVERSIDAD DE LA SABANA,Activa,Universidad,Privado,27.7,MAESTRÍA EN ENFERMERIA,,,,,,,,,,,,,,,,
1712,1712,28,UNIVERSIDAD EAFIT-,Activa,Universidad,Privado,28.1,ESPECIALIZACIÓN EN GERENCIA DEL DESARROLLO HUMANO,,,,,,,,,,,,,,,,
1712,1712,28,UNIVERSIDAD EAFIT-,Activa,Universidad,Privado,28.2,MAESTRÍA EN DESARROLLO HUMANO ORGANIZACIONAL,,,,,,,,,,,,,,,,
1712,1712,28,UNIVERSIDAD EAFIT-,Activa,Universidad,Privado,28.3,MAESTRÍA EN GERENCIA DE EMPRESAS SOCIALES PARA LA INNOVACIÓN SOCIAL Y EL DESARROLLO LOCAL,,,,,,,,,,,,,,,,
1712,1712,28,UNIVERSIDAD EAFIT-,Activa,Universidad,Privado,28.4,MAESTRÍA EN GERENCIA DE LA INNOVACIÓN Y EL CONOCIMIENTO,,,,,,,,,,,,,,,,
1712,1712,28,UNIVERSIDAD EAFIT-,Activa,Universidad,Privado,28.5,MAESTRÍA EN LECTURA Y ESCRITURA,,,,,,,,,,,,,,,,
1713,1713,29,UNIVERSIDAD DEL NORTE,Activa,Universidad,Privado,29.1,MAESTRÍA EN EDUCACIÓN MEDIADA POR TIC,,,,,,,,,,,,,,,,
1713,1713,29,UNIVERSIDAD DEL NORTE,Activa,Universidad,Privado,29.2,MAESTRÍA EN PEDAGOGÍA SOCIAL E INTERVENCIÓN EDUCATIVA EN CONTEXTOS SOCIALES,,,,,,,,,,,,,,,,
